505,9547
447,3556
542,5831
516,0634
506,9599
535,0162
496,9291
497,5626
577,2483
536,8560
541,2459
473,4978
550,9890
569,4106
522,9152
487,2002
594,6108
591,1740
615,9868
621,3175
607,1250
587,0367
554,1554
644,1172
509,7000
607,0943
603,5512
613,6216
544,9143
670,8118
687,1316
615,5817
711,1873
694,2979
681,9293
659,1403
642,7021
601,5301
666,7623
650,9657
606,0913
696,6788
641,6025
855,7719
667,3291
573,4914
791,7333
751,5914
610,7948
624,6503
833,2990
639,8867
736,8283
772,2923
686,8865
667,7631
712,9415
918,1838
656,1089
700,4972
683,4933
781,7380
715,6843
808,2875
820,7795
656,8856
733,3400
773,5387
641,2027
932,2119
680,6766
988,2828
664,8986
813,5283
883,4088
924,2749
969,4321
777,3293
880,9984
971,3583
902,9584
1020,7457
1075,1483
886,1707
889,6322
950,3908
878,0395
1043,7676
901,1090
1079,6584
933,9054
921,9433
870,8071
811,1398
1004,2677
1008,1758
1189,4893
751,9706
947,4753
886,5153
1074,8943
1101,1307
1130,1855
975,8495
948,1610
1177,8227
1227,1271
976,9957
836,7089
1323,6047
852,3532
1200,8262
1274,4788
1349,2614
1102,6334
1324,8566
1268,7187
1058,2289
1204,0872
1084,6503
1284,4305
1195,2843
1058,4262
1188,0577
1166,5934
1064,6946
1429,0685
1070,8528
1539,3305
1467,1571
1127,7058
1296,0717
1555,2741
1332,9037
1315,4236
1189,2462
1482,4339
1240,9287
1237,7720
1468,6083
1328,5457
1589,5078
1373,1630
1503,5563
1659,9376
1704,6137
1550,4638
1625,8026
1873,8582
1370,6209
1439,7114
1447,4369
1579,9158
1681,2571
1661,6059
1311,8468
1326,0308
1323,0995
1550,4863
1606,2042
1768,5401
1509,8368
1592,1086
1627,6188
1544,6329
1439,5234
1682,3518
1850,7097
1673,3801
1832,4272
1672,2672
1781,5768
1659,2899
1970,0389
2044,7124
1929,0902
1891,7042
1487,1577
2013,8722
1796,7886
1977,0183
1516,9552
1650,6039
1523,2834
1696,6181
1627,2609
1787,2968
1567,2874
1881,9963
2318,9833
1941,9879
1820,2797
2154,8123
2261,5471
2052,2214
2079,1710
2010,0609
2145,2606
1775,3008
2013,4070
