X;id;grade;discipline;infraction;timestamp;gender;male;female
1;1;1;0;disruptive conduct;26/05/2017 08:53;Male;1;0
2;2;1;0;disruptive conduct;03/05/2017 07:26;Female;0;1
3;3;1;0;failure to cooperate;12/01/2017 06:57;Male;1;0
4;4;1;0;failure to cooperate;16/05/2017 07:23;Male;1;0
5;5;1;0;fighting;22/12/2016 08:57;Male;1;0
6;6;1;0;disruptive conduct;03/01/2017 07:51;Female;0;1
7;7;1;0;failure to cooperate;18/10/2016 07:37;Female;0;1
8;8;1;0;failure to cooperate;14/11/2016 07:34;Male;1;0
9;9;1;0;disruptive conduct;10/04/2017 09:01;Male;1;0
10;10;1;0;failure to cooperate;17/02/2017 08:29;Male;1;0
11;11;1;0;failure to cooperate;31/05/2017 08:35;Male;1;0
12;12;1;0;vandalism;28/03/2017 08:55;Male;1;0
13;13;1;0;failure to cooperate;06/09/2016 07:33;Female;0;1
14;14;1;0;failure to cooperate;05/01/2017 07:43;Male;1;0
15;15;1;0;failure to cooperate;01/05/2017 07:35;Male;1;0
16;16;1;0;failure to cooperate;23/11/2016 07:54;Male;1;0
17;18;1;0;academic dishonesty;01/02/2017 07:29;Female;0;1
18;19;1;0;failure to cooperate;22/02/2017 07:32;Female;0;1
19;20;1;0;failure to cooperate;05/09/2016 08:15;Male;1;0
20;21;1;0;failure to cooperate;17/01/2017 08:52;Male;1;0
21;22;1;0;plagiarism;17/05/2017 08:40;Male;1;0
22;23;1;0;disruptive conduct;19/10/2016 08:26;Male;1;0
23;26;1;0;failure to cooperate;02/11/2016 07:15;Female;0;1
24;27;1;0;academic dishonesty;06/01/2017 07:47;Male;1;0
25;28;1;0;academic dishonesty;06/02/2017 09:04;Female;0;1
26;29;1;0;disruptive conduct;16/09/2016 08:00;Male;1;0
27;30;1;0;failure to cooperate;29/11/2016 08:06;Male;1;0
28;31;1;0;failure to cooperate;08/09/2016 08:03;Female;0;1
29;32;1;0;failure to cooperate;17/11/2016 08:32;Male;1;0
30;33;1;0;failure to cooperate;16/03/2017 07:32;Female;0;1
31;34;1;0;disruptive conduct;12/05/2017 08:32;Female;0;1
32;35;1;0;failure to cooperate;22/05/2017 08:09;Female;0;1
33;36;1;0;academic dishonesty;25/01/2017 07:28;Male;1;0
34;37;1;0;disruptive conduct;24/10/2016 08:01;Male;1;0
35;38;1;0;failure to cooperate;12/04/2017 08:12;Male;1;0
36;39;1;0;failure to cooperate;29/09/2016 08:13;Male;1;0
37;40;1;0;disruptive conduct;12/10/2016 08:51;Male;1;0
38;41;1;0;failure to cooperate;31/01/2017 08:06;Female;0;1
39;42;1;0;failure to cooperate;21/10/2016 08:07;Female;0;1
40;43;1;0;disruptive conduct;20/04/2017 08:14;Male;1;0
41;44;1;0;failure to cooperate;12/09/2016 07:50;Male;1;0
42;45;1;0;failure to cooperate;31/01/2017 08:03;Male;1;0
43;46;1;0;failure to cooperate;01/06/2017 07:18;Female;0;1
44;47;1;0;failure to cooperate;23/03/2017 07:21;Male;1;0
45;48;1;0;plagiarism;28/02/2017 07:56;Female;0;1
46;49;1;0;failure to cooperate;03/02/2017 08:19;Male;1;0
47;50;1;0;failure to cooperate;09/05/2017 07:49;Male;1;0
48;51;1;0;academic dishonesty;20/12/2016 07:46;Female;0;1
49;52;1;0;failure to cooperate;27/10/2016 07:20;Female;0;1
50;53;1;0;academic dishonesty;28/12/2016 08:15;Male;1;0
51;54;1;0;failure to cooperate;11/11/2016 08:03;Female;0;1
52;55;1;0;failure to cooperate;02/12/2016 07:35;Male;1;0
53;56;1;0;disruptive conduct;23/09/2016 08:06;Female;0;1
54;57;1;0;failure to cooperate;10/10/2016 07:51;Male;1;0
55;58;1;0;failure to cooperate;22/11/2016 07:51;Male;1;0
56;59;1;0;alcohol;28/12/2016 08:11;Male;1;0
57;60;1;0;failure to cooperate;11/04/2017 07:28;Female;0;1
58;61;1;0;academic dishonesty;07/03/2017 07:11;Male;1;0
59;62;1;0;failure to cooperate;24/11/2016 07:59;Male;1;0
60;63;1;0;failure to cooperate;21/12/2016 07:12;Male;1;0
61;64;1;0;failure to cooperate;17/01/2017 07:39;Male;1;0
62;65;1;0;academic dishonesty;09/05/2017 08:40;Female;0;1
63;66;1;0;failure to cooperate;10/02/2017 07:51;Male;1;0
64;67;1;0;failure to cooperate;24/02/2017 08:08;Male;1;0
65;69;1;0;failure to cooperate;11/11/2016 08:22;Female;0;1
66;71;1;0;disruptive conduct;22/11/2016 08:04;Male;1;0
67;72;1;0;failure to cooperate;05/01/2017 08:21;Female;0;1
68;73;1;0;failure to cooperate;03/01/2017 07:57;Female;0;1
69;74;1;0;failure to cooperate;25/04/2017 08:19;Male;1;0
70;75;1;0;academic dishonesty;14/03/2017 08:27;Female;0;1
71;76;1;0;academic dishonesty;08/11/2016 07:38;Female;0;1
72;77;1;0;failure to cooperate;10/03/2017 07:15;Female;0;1
73;78;1;0;failure to cooperate;21/10/2016 07:56;Male;1;0
74;79;1;0;vandalism;02/02/2017 08:13;Female;0;1
75;80;1;0;failure to cooperate;13/01/2017 08:07;Female;0;1
76;81;1;0;failure to cooperate;03/03/2017 07:36;Male;1;0
77;82;1;0;disruptive conduct;10/05/2017 07:34;Male;1;0
78;83;1;0;academic dishonesty;25/10/2016 08:27;Male;1;0
79;84;1;0;failure to cooperate;01/12/2016 07:33;Female;0;1
80;85;1;0;academic dishonesty;19/01/2017 08:03;Male;1;0
81;86;1;0;failure to cooperate;15/02/2017 07:38;Female;0;1
82;87;1;0;failure to cooperate;08/11/2016 08:11;Male;1;0
83;88;1;0;failure to cooperate;10/02/2017 08:12;Female;0;1
84;89;1;0;failure to cooperate;11/01/2017 07:23;Female;0;1
85;90;1;0;fighting;27/03/2017 08:22;Male;1;0
86;91;1;0;disruptive conduct;24/04/2017 06:41;Female;0;1
87;92;1;0;failure to cooperate;02/01/2017 08:21;Female;0;1
88;93;1;0;academic dishonesty;26/09/2016 07:45;Male;1;0
89;94;1;0;minor incident;26/12/2016 08:34;Female;0;1
